x_metres,y_metres,z_metres
1.754540038524391887e+00,-1.552287266827116152e+00,7.350519180297851562e+00
1.952057000752771554e+00,-1.460976239284489164e+00,6.918135643005371094e+00
2.344732530560174055e+00,-1.520607936906129387e+00,7.200508594512939453e+00
2.657732245197506504e+00,-1.520607936906129387e+00,7.200508594512939453e+00
3.032622204899524831e+00,-1.552287266827116152e+00,7.350519180297851562e+00
3.352142746493308234e+00,-1.552287266827116152e+00,7.350519180297851562e+00
3.749783773442762147e+00,-1.585314651197957891e+00,7.506913185119628906e+00
3.991183829680875039e+00,-1.552287266827116152e+00,7.350519180297851562e+00
4.811949065608921217e+00,-1.732785786225617963e+00,8.205230712890625000e+00
4.938906553701780666e+00,-1.655773077902338963e+00,7.840553760528564453e+00
6.599660820013655282e+00,-2.069716422902001973e+00,9.800692558288574219e+00
-8.494956666037895232e+00,-2.113314408963165469e+00,1.260089015960693359e+01
-1.390761238005382161e+01,-3.698300175699997805e+00,2.205155754089355469e+01
-1.218734234850312603e+01,-3.480753238258253113e+00,2.075440788269042969e+01
-9.135611210567146756e+00,-2.817752651912332151e+00,1.680118751525878906e+01
-6.537438574913539746e+00,-2.191585307075054168e+00,1.306758975982666016e+01
-8.954103295701509424e+00,-3.287378040583665229e+00,1.960138511657714844e+01
-8.578639624532099717e+00,-3.480753238258253113e+00,2.075440788269042969e+01
-7.676463943539343582e+00,-3.480753238258253113e+00,2.075440788269042969e+01
-6.397938880040491050e+00,-3.287378040583665229e+00,1.960138511657714844e+01
-4.991295721303376176e+00,-2.958640268513732074e+00,1.764124679565429688e+01
-2.816297516085723096e+00,-1.972426792361765546e+00,1.176083087921142578e+01
-2.160998066120161543e+00,-1.849150087849998902e+00,1.102577877044677734e+01
-1.681717253729486661e+00,-1.849150087849998902e+00,1.102577877044677734e+01
-1.039945019103329704e+00,-1.599264923552197404e+00,9.535808563232421875e+00
-4.923612779530012751e-01,-1.258995801090591504e+00,7.506913185119628906e+00
-1.625832110383079454e-01,-1.232766725233332750e+00,7.350519180297851562e+00
1.537345280988476059e-01,-1.207608222268796938e+00,7.200508594512939453e+00
4.764578721492586655e-01,-1.232766725233332750e+00,7.350519180297851562e+00
7.959784137430419015e-01,-1.232766725233332750e+00,7.350519180297851562e+00
1.115498955336825304e+00,-1.232766725233332750e+00,7.350519180297851562e+00
1.405733386648176930e+00,-1.207608222268796938e+00,7.200508594512939453e+00
1.754540038524391887e+00,-1.232766725233332750e+00,7.350519180297851562e+00
1.914517489619894652e+00,-1.137938534054864892e+00,6.785094738006591797e+00
2.393581121711958470e+00,-1.232766725233332750e+00,7.350519180297851562e+00
2.713101663305741873e+00,-1.232766725233332750e+00,7.350519180297851562e+00
3.032622204899524831e+00,-1.232766725233332750e+00,7.350519180297851562e+00
3.352142746493308234e+00,-1.232766725233332750e+00,7.350519180297851562e+00
3.671663288087091637e+00,-1.232766725233332750e+00,7.350519180297851562e+00
3.991183829680875039e+00,-1.232766725233332750e+00,7.350519180297851562e+00
4.310704371274658442e+00,-1.232766725233332750e+00,7.350519180297851562e+00
5.051154505014362250e+00,-1.344836442067468996e+00,8.018748283386230469e+00
6.987876200143404049e+00,-1.740376619129126556e+00,1.037720394134521484e+01
-7.433087002417585687e+00,-1.369869275459324021e+00,1.102577877044677734e+01
-7.178122324715133118e+00,-1.414058568704208430e+00,1.138144874572753906e+01
-7.968646747863173729e+00,-1.685992981754581566e+00,1.357018947601318359e+01
-7.378762661508025289e+00,-1.685992981754581566e+00,1.357018947601318359e+01
-8.825542386250278426e+00,-2.191790935524351447e+00,1.764124679565429688e+01
-1.007336588092842256e+01,-2.739738550918648041e+00,2.205155754089355469e+01
-8.578639624532099717e+00,-2.578577557265496978e+00,2.075440788269042969e+01
-6.524994387282136543e+00,-2.191790935524351447e+00,1.764124679565429688e+01
-4.429342229732284864e+00,-1.685992981754581566e+00,1.357018947601318359e+01
-3.697255959938035463e+00,-1.623548784079953400e+00,1.306758975982666016e+01
-2.913411066039837127e+00,-1.511579832961493119e+00,1.216637611389160156e+01
-2.160998066120161543e+00,-1.369869275459324021e+00,1.102577877044677734e+01
-1.494859829579566979e+00,-1.217661617681662811e+00,9.800692558288574219e+00
-1.039945019103329704e+00,-1.184751792993276043e+00,9.535808563232421875e+00
-5.259313721940375164e-01,-9.962685747419440796e-01,8.018748283386230469e+00
-1.625832110383079454e-01,-9.132461836395494581e-01,7.350519180297851562e+00
1.637606909829801283e-01,-9.529525291467653147e-01,7.670106887817382812e+00
4.667342427361799162e-01,-8.946085076314646001e-01,7.200508594512939453e+00
7.797339573735123652e-01,-8.946085076314646001e-01,7.200508594512939453e+00
1.115498955336825304e+00,-9.132461836395494581e-01,7.350519180297851562e+00
1.435019496930608485e+00,-9.132461836395494581e-01,7.350519180297851562e+00
1.619575446442320654e+00,-8.429964908772907828e-01,6.785094738006591797e+00
2.031732815922841606e+00,-8.946085076314646001e-01,7.200508594512939453e+00
